State,Year,Quarter,Revenue
Mississippi,2021,Q3,649800000.0
Mississippi,2021,Q4,650200000.0
Mississippi,2022,CY,2574100000.0
Mississippi,2022,Q1,660100000.0
Mississippi,2022,Q2,658300000.0
Mississippi,2022,Q3,630900000.0
Mississippi,2022,Q4,624800000.0
Mississippi,2023,CY,2482800000.0
Mississippi,2023,Q1,649000000.0
Mississippi,2023,Q2,617800000.0
Mississippi,2023,Q3,627300000.0
Mississippi,2023,Q4,602500000.0
Mississippi,2024,Q1,622100000.0
Mississippi,2024,Q2,603700000.0
Mississippi,2024,Q3,605800000.0
Missouri,2019,Q3,435480000.0
Missouri,2020,CY,
Missouri,2020,Q2,119200000.0
Missouri,2020,Q3,393100000.0
Missouri,2020,Q4,385900000.0
Missouri,2021,CY,1896600000.0
Missouri,2021,Q1,436800000.0
Missouri,2021,Q2,500700000.0
Missouri,2021,Q3,472100000.0
Missouri,2021,Q4,487000000.0
Missouri,2022,CY,1905500000.0
Missouri,2022,Q1,468000000.0
Missouri,2022,Q2,487400000.0
Missouri,2022,Q3,488200000.0
Missouri,2022,Q4,461900000.0
Missouri,2023,CY,1921100000.0
Missouri,2023,Q1,474100000.0
Missouri,2023,Q2,483100000.0
Missouri,2023,Q3,483400000.0
Missouri,2023,Q4,467100000.0
Missouri,2024,Q1,467800000.0
Missouri,2024,Q2,473700000.0
Missouri,2024,Q3,468600000.0
Montana,2019,Q3,
Montana,2020,CY,2200000.0
Montana,2020,Q2,
Montana,2020,Q3,700000.0
Montana,2020,Q4,1600000.0
Montana,2021,CY,6400000.0
Montana,2021,Q1,1500000.0
Montana,2021,Q2,1400000.0
Montana,2021,Q3,1500000.0
Montana,2021,Q4,2000000.0
Montana,2022,CY,7200000.0
Montana,2022,Q1,2000000.0
Montana,2022,Q2,1000000.0
Montana,2022,Q3,1700000.0
Montana,2022,Q4,2400000.0
Montana,2023,CY,8200000.0
Montana,2023,Q1,2500000.0
Montana,2023,Q2,1600000.0
Montana,2023,Q3,1600000.0
Montana,2023,Q4,2500000.0
Montana,2024,Q1,1600000.0
Montana,2024,Q2,1700000.0
Montana,2024,Q3,2200000.0
Nebraska,2019,Q3,
Nebraska,2020,CY,
Nebraska,2020,Q2,
Nebraska,2020,Q3,
Nebraska,2020,Q4,
Nebraska,2021,CY,
Nebraska,2021,Q1,
Nebraska,2021,Q2,
Nebraska,2021,Q3,
Nebraska,2021,Q4,
Nebraska,2022,CY,14000000.0
Nebraska,2022,Q1,
Nebraska,2022,Q2,
Nebraska,2022,Q3,1400000.0
Nebraska,2022,Q4,12600000.0
Nebraska,2023,CY,89100000.0
Nebraska,2023,Q1,20700000.0
Nebraska,2023,Q2,50200000.0
Nebraska,2023,Q3,23200000.0
Nebraska,2023,Q4,24700000.0
Nebraska,2024,Q1,25900000.0
Nebraska,2024,Q2,27400000.0
Nebraska,2024,Q3,40900000.0
Nevada,2019,Q3,3034290000.0
Nevada,2020,CY,
Nevada,2020,Q2,576300000.0
Nevada,2020,Q3,2321000000.0
Nevada,2020,Q4,
Nevada,2021,CY,13430900000.0
Nevada,2021,Q1,
Nevada,2021,Q2,3462500000.0
Nevada,2021,Q3,3683800000.0
Nevada,2021,Q4,3876100000.0
Nevada,2022,CY,14842100000.0
Nevada,2022,Q1,3547100000.0
Nevada,2022,Q2,3705600000.0
Nevada,2022,Q3,3773300000.0
Nevada,2022,Q4,3816100000.0
Nevada,2023,CY,15522500000.0
Nevada,2023,Q1,3822100000.0
Nevada,2023,Q2,3694200000.0
Nevada,2023,Q3,3883700000.0
Nevada,2023,Q4,4122100000.0
Nevada,2024,Q1,3911800000.0
Nevada,2024,Q2,3847300000.0
Nevada,2024,Q3,3783400000.0
New Hampshire,2019,Q3,
New Hampshire,2020,CY,23600000.0
New Hampshire,2020,Q2,1400000.0
New Hampshire,2020,Q3,4900000.0
New Hampshire,2020,Q4,13500000.0
New Hampshire,2021,CY,43800000.0
New Hampshire,2021,Q1,10200000.0
New Hampshire,2021,Q2,10300000.0
New Hampshire,2021,Q3,8400000.0
New Hampshire,2021,Q4,15100000.0
New Hampshire,2022,CY,66700000.0
New Hampshire,2022,Q1,14300000.0
New Hampshire,2022,Q2,14000000.0
New Hampshire,2022,Q3,16000000.0
New Hampshire,2022,Q4,22400000.0
New Hampshire,2023,CY,80300000.0
New Hampshire,2023,Q1,24300000.0
New Hampshire,2023,Q2,18100000.0
New Hampshire,2023,Q3,13000000.0
New Hampshire,2023,Q4,24700000.0
New Hampshire,2024,Q1,22000000.0
New Hampshire,2024,Q2,17100000.0
New Hampshire,2024,Q3,16200000.0
New Jersey,2019,Q3,990730000.0
New Jersey,2020,CY,
New Jersey,2020,Q2,276000000.0
New Jersey,2020,Q3,914100000.0
New Jersey,2020,Q4,939900000.0
New Jersey,2021,CY,4737200000.0
New Jersey,2021,Q1,999000000.0
New Jersey,2021,Q2,1119300000.0
New Jersey,2021,Q3,1331800000.0
New Jersey,2021,Q4,1287100000.0
New Jersey,2022,CY,5211300000.0
New Jersey,2022,Q1,1178600000.0
New Jersey,2022,Q2,1254700000.0
New Jersey,2022,Q3,1436400000.0
New Jersey,2022,Q4,1341600000.0
New Jersey,2023,CY,5778300000.0
New Jersey,2023,Q1,1336500000.0
New Jersey,2023,Q2,1350800000.0
New Jersey,2023,Q3,1559200000.0
New Jersey,2023,Q4,1491700000.0
New Jersey,2024,Q1,1547200000.0
New Jersey,2024,Q2,1511900000.0
New Jersey,2024,Q3,1710900000.0
New Mexico,2019,Q3,60370000.0
New Mexico,2020,CY,51800000.0
New Mexico,2020,Q2,
New Mexico,2020,Q3,
New Mexico,2020,Q4,
New Mexico,2021,CY,217500000.0
New Mexico,2021,Q1,23500000.0
New Mexico,2021,Q2,70000000.0
New Mexico,2021,Q3,67500000.0
New Mexico,2021,Q4,56500000.0
New Mexico,2022,CY,262000000.0
New Mexico,2022,Q1,61900000.0
New Mexico,2022,Q2,67000000.0
New Mexico,2022,Q3,68900000.0
New Mexico,2022,Q4,64300000.0
New Mexico,2023,CY,270900000.0
New Mexico,2023,Q1,70600000.0
New Mexico,2023,Q2,69100000.0
New Mexico,2023,Q3,67800000.0
New Mexico,2023,Q4,63400000.0
New Mexico,2024,Q1,67700000.0
New Mexico,2024,Q2,65900000.0
New Mexico,2024,Q3,63900000.0
New York,2019,Q3,698250000.0
New York,2020,CY,
New York,2020,Q2,
New York,2020,Q3,125900000.0
New York,2020,Q4,501500000.0
New York,2021,CY,2712900000.0
New York,2021,Q1,547800000.0
New York,2021,Q2,708500000.0
New York,2021,Q3,736000000.0
New York,2021,Q4,720600000.0
New York,2022,CY,4228500000.0
New York,2022,Q1,996600000.0
New York,2022,Q2,1021700000.0
New York,2022,Q3,1060900000.0
New York,2022,Q4,1149300000.0
New York,2023,CY,4719900000.0
New York,2023,Q1,1182400000.0
New York,2023,Q2,1161500000.0
New York,2023,Q3,1140400000.0
New York,2023,Q4,1239300000.0
New York,2024,Q1,1257800000.0
New York,2024,Q2,1333500000.0
New York,2024,Q3,1259400000.0
North Carolina,2019,Q3,
North Carolina,2020,CY,
North Carolina,2020,Q2,
North Carolina,2020,Q3,
North Carolina,2020,Q4,
North Carolina,2021,CY,
North Carolina,2021,Q1,
North Carolina,2021,Q2,
North Carolina,2021,Q3,
North Carolina,2021,Q4,
North Carolina,2022,CY,
North Carolina,2022,Q1,
North Carolina,2022,Q2,
North Carolina,2022,Q3,
North Carolina,2022,Q4,
North Carolina,2023,CY,
North Carolina,2023,Q1,
North Carolina,2023,Q2,
North Carolina,2023,Q3,
North Carolina,2023,Q4,
North Carolina,2024,Q1,66500000.0
North Carolina,2024,Q2,208600000.0
North Carolina,2024,Q3,146000000.0
Ohio,2019,Q3,481690000.0
Ohio,2020,CY,
Ohio,2020,Q2,76700000.0
Ohio,2020,Q3,517800000.0
Ohio,2020,Q4,435100000.0
Ohio,2021,CY,2310300000.0
Ohio,2021,Q1,527300000.0
Ohio,2021,Q2,623100000.0
Ohio,2021,Q3,536500000.0
Ohio,2021,Q4,623600000.0
Ohio,2022,CY,2332800000.0
Ohio,2022,Q1,566400000.0
Ohio,2022,Q2,606400000.0
Ohio,2022,Q3,591300000.0
Ohio,2022,Q4,568800000.0
Ohio,2023,CY,3319400000.0
Ohio,2023,Q1,999900000.0
Ohio,2023,Q2,748400000.0
Ohio,2023,Q3,749900000.0
Ohio,2023,Q4,821500000.0
Ohio,2024,Q1,840200000.0
Ohio,2024,Q2,792600000.0
Ohio,2024,Q3,802100000.0
Oklahoma,2019,Q3,34390000.0
Oklahoma,2020,CY,101700000.0
Oklahoma,2020,Q2,13500000.0
Oklahoma,2020,Q3,29300000.0
Oklahoma,2020,Q4,28900000.0
Oklahoma,2021,CY,145800000.0
Oklahoma,2021,Q1,33500000.0
Oklahoma,2021,Q2,38700000.0
Oklahoma,2021,Q3,12560000.0
Oklahoma,2021,Q4,60800000.0
Oklahoma,2022,CY,150900000.0
Oklahoma,2022,Q1,36900000.0
Oklahoma,2022,Q2,39600000.0
Oklahoma,2022,Q3,37500000.0
Oklahoma,2022,Q4,36800000.0
Oklahoma,2023,CY,151400000.0
Oklahoma,2023,Q1,39100000.0
Oklahoma,2023,Q2,39300000.0
Oklahoma,2023,Q3,36700000.0
Oklahoma,2023,Q4,36400000.0
Oklahoma,2024,Q1,39200000.0
Oklahoma,2024,Q2,36100000.0
Oklahoma,2024,Q3,37400000.0
Oregon,2019,Q3,
Oregon,2020,CY,20100000.0
Oregon,2020,Q2,1800000.0
Oregon,2020,Q3,4200000.0
Oregon,2020,Q4,9900000.0
Oregon,2021,CY,30400000.0
Oregon,2021,Q1,7900000.0
Oregon,2021,Q2,7900000.0
Oregon,2021,Q3,4500000.0
Oregon,2021,Q4,10100000.0
Oregon,2022,CY,49500000.0
Oregon,2022,Q1,9400000.0
Oregon,2022,Q2,11400000.0
Oregon,2022,Q3,10900000.0
Oregon,2022,Q4,17900000.0
Oregon,2023,CY,64300000.0
Oregon,2023,Q1,15700000.0
Oregon,2023,Q2,15200000.0
Oregon,2023,Q3,12000000.0
Oregon,2023,Q4,21400000.0
Oregon,2024,Q1,21400000.0
Oregon,2024,Q2,
Oregon,2024,Q3,21300000.0
Pennsylvania,2019,Q3,860680000.0
Pennsylvania,2020,CY,
Pennsylvania,2020,Q2,240200000.0
Pennsylvania,2020,Q3,893100000.0
Pennsylvania,2020,Q4,792000000.0
Pennsylvania,2021,CY,4830800000.0
Pennsylvania,2021,Q1,
Pennsylvania,2021,Q2,1217200000.0
Pennsylvania,2021,Q3,1265000000.0
Pennsylvania,2021,Q4,1303700000.0
Pennsylvania,2022,CY,5343100000.0
Pennsylvania,2022,Q1,1271700000.0
Pennsylvania,2022,Q2,1321900000.0
Pennsylvania,2022,Q3,1329700000.0
Pennsylvania,2022,Q4,1413900000.0
Pennsylvania,2023,CY,5863600000.0
Pennsylvania,2023,Q1,1474400000.0
Pennsylvania,2023,Q2,1424500000.0
Pennsylvania,2023,Q3,1432600000.0
Pennsylvania,2023,Q4,1532200000.0
Pennsylvania,2024,Q1,1694200000.0
Pennsylvania,2024,Q2,1646900000.0
Pennsylvania,2024,Q3,1701200000.0
Rhode Island,2019,Q3,154610000.0
Rhode Island,2020,CY,326200000.0
Rhode Island,2020,Q2,12100000.0
Rhode Island,2020,Q3,98500000.0
Rhode Island,2020,Q4,83200000.0
Rhode Island,2021,CY,594100000.0
Rhode Island,2021,Q1,15300000.0
Rhode Island,2021,Q2,152800000.0
Rhode Island,2021,Q3,160700000.0
Rhode Island,2021,Q4,265300000.0
Rhode Island,2022,CY,688200000.0
Rhode Island,2022,Q1,157800000.0
Rhode Island,2022,Q2,172000000.0
Rhode Island,2022,Q3,176900000.0
Rhode Island,2022,Q4,181600000.0
Rhode Island,2023,CY,707500000.0
Rhode Island,2023,Q1,181800000.0
Rhode Island,2023,Q2,179100000.0
Rhode Island,2023,Q3,173800000.0
Rhode Island,2023,Q4,172800000.0
Rhode Island,2024,Q1,175900000.0
Rhode Island,2024,Q2,177600000.0
Rhode Island,2024,Q3,177900000.0
South Dakota,2019,Q3,33870000.0
South Dakota,2020,CY,105300000.0
South Dakota,2020,Q2,19100000.0
South Dakota,2020,Q3,35900000.0
South Dakota,2020,Q4,27000000.0
South Dakota,2021,CY,146100000.0
South Dakota,2021,Q1,32900000.0
South Dakota,2021,Q2,37200000.0
South Dakota,2021,Q3,42000000.0
South Dakota,2021,Q4,34000000.0
South Dakota,2022,CY,142900000.0
South Dakota,2022,Q1,33600000.0
South Dakota,2022,Q2,34700000.0
South Dakota,2022,Q3,42600000.0
South Dakota,2022,Q4,31900000.0
South Dakota,2023,CY,147600000.0
South Dakota,2023,Q1,34000000.0
South Dakota,2023,Q2,35500000.0
South Dakota,2023,Q3,43400000.0
South Dakota,2023,Q4,34400000.0
South Dakota,2024,Q1,34200000.0
South Dakota,2024,Q2,37700000.0
South Dakota,2024,Q3,45300000.0
Tennessee,2019,Q3,
Tennessee,2020,CY,27100000.0
Tennessee,2020,Q2,
Tennessee,2020,Q3,
Tennessee,2020,Q4,7100000.0
Tennessee,2021,CY,239800000.0
Tennessee,2021,Q1,42400000.0
Tennessee,2021,Q2,44200000.0
Tennessee,2021,Q3,43900000.0
Tennessee,2021,Q4,119300000.0
Tennessee,2022,CY,379400000.0
Tennessee,2022,Q1,83700000.0
Tennessee,2022,Q2,70300000.0
Tennessee,2022,Q3,91700000.0
Tennessee,2022,Q4,133700000.0
Tennessee,2023,CY,459300000.0
Tennessee,2023,Q1,120800000.0
Tennessee,2023,Q2,96900000.0
Tennessee,2023,Q3,241300000.0
Tennessee,2023,Q4,144400000.0
Tennessee,2024,Q1,138500000.0
